policy,slot,action,action_label,energy,focus,reward,cumulative_reward,completed_tasks,completed_value,missed_deadline_count,invalid_action,completed_task_id
random,0,2,T2,0.768136814566789,0.6171835319256157,5.99,5.99,1,3,0,False,2
random,1,6,REST,0.918136814566789,0.7971835319256158,-1.51,4.48,1,3,1,False,
random,2,3,T3,0.816736814566789,0.7029435319256157,-0.01,4.470000000000001,1,3,1,False,
random,3,6,REST,0.9667368145667891,0.8829435319256156,-0.01,4.460000000000001,1,3,1,False,
random,4,3,T3,0.8653368145667891,0.7887035319256155,-1.51,2.950000000000001,1,3,2,False,
random,5,3,T3,0.7639368145667892,0.6944635319256154,-0.01,2.9400000000000013,1,3,2,False,
random,6,3,T3,0.6625368145667893,0.6002235319256153,3.99,6.9300000000000015,2,5,2,False,3
random,7,6,REST,0.8125368145667893,0.7802235319256152,-0.01,6.920000000000002,2,5,2,False,
random,8,0,T0,0.7061368145667893,0.3779835319256151,-0.01,6.910000000000002,2,5,2,False,
random,9,1,T1,0.6009368145667894,0.2776635319256151,-0.01,6.900000000000002,2,5,2,False,
random,10,6,REST,0.7509368145667894,0.4576635319256151,-0.01,6.890000000000002,2,5,2,False,
random,11,1,T1,0.6457368145667894,0.3573435319256151,-0.01,6.880000000000003,2,5,2,False,
random,12,6,REST,0.7957368145667895,0.537343531925615,-0.01,6.870000000000003,2,5,2,False,
random,13,6,REST,0.9457368145667895,0.717343531925615,-0.01,6.860000000000003,2,5,2,False,
random,14,6,REST,1.0,0.8973435319256149,-0.01,6.850000000000003,2,5,2,False,
random,15,0,T0,0.8936000000000001,0.7951035319256148,-0.01,6.840000000000003,2,5,2,False,
edf,0,0,T0,0.7392897788102732,0.21089259709169889,-0.01,-0.01,0,0,0,False,
edf,1,0,T0,0.6328897788102733,0.10865259709169889,-1.51,-1.52,0,0,1,False,
edf,2,1,T1,0.5276897788102733,0.008332597091698889,-0.01,-1.53,0,0,1,False,
edf,3,1,T1,0.42248977881027333,0.0,-0.51,-2.04,0,0,1,False,
edf,4,1,T1,0.3172897788102733,0.0,-3.51,-5.55,0,0,3,False,
edf,5,3,T3,0.2158897788102733,0.0,-0.51,-6.06,0,0,3,False,
edf,6,6,REST,0.3658897788102733,0.18,0.19,-5.869999999999999,0,0,3,False,
edf,7,3,T3,0.26448977881027325,0.08576,-0.01,-5.879999999999999,0,0,3,False,
edf,8,3,T3,0.16308977881027323,0.0,-0.01,-5.889999999999999,0,0,3,False,
edf,9,6,REST,0.3130897788102732,0.18,0.19,-5.699999999999998,0,0,3,False,
edf,10,3,T3,0.2116897788102732,0.08576,-0.01,-5.709999999999998,0,0,3,False,
edf,11,6,REST,0.3616897788102732,0.26576,0.19,-5.519999999999998,0,0,3,False,
edf,12,3,T3,0.26028977881027315,0.17152,-0.01,-5.529999999999998,0,0,3,False,
edf,13,3,T3,0.15888977881027314,0.07728000000000002,-0.01,-5.539999999999997,0,0,3,False,
edf,14,6,REST,0.30888977881027313,0.25728,-1.31,-6.849999999999998,0,0,4,False,
edf,15,0,T0,0.2024897788102731,0.15504,-0.01,-6.859999999999998,0,0,4,False,
energy_aware,0,1,T1,0.5815696529021616,0.5771139224318319,-0.01,-0.01,0,0,0,False,
energy_aware,1,1,T1,0.4763696529021616,0.47679392243183194,-1.51,-1.52,0,0,1,False,
energy_aware,2,1,T1,0.3711696529021616,0.3764739224318319,-0.01,-1.53,0,0,1,False,
energy_aware,3,1,T1,0.26596965290216157,0.2761539224318319,-0.51,-2.04,0,0,1,False,
energy_aware,4,6,REST,0.4159696529021616,0.4561539224318319,-2.81,-4.85,0,0,3,False,
energy_aware,5,3,T3,0.31456965290216155,0.3619139224318319,-0.01,-4.859999999999999,0,0,3,False,
energy_aware,6,3,T3,0.21316965290216153,0.2676739224318319,-0.01,-4.869999999999999,0,0,3,False,
energy_aware,7,6,REST,0.3631696529021615,0.4476739224318319,0.19,-4.679999999999999,0,0,3,False,
energy_aware,8,3,T3,0.2617696529021615,0.3534339224318319,-0.01,-4.689999999999999,0,0,3,False,
energy_aware,9,6,REST,0.4117696529021615,0.5334339224318319,0.19,-4.499999999999998,0,0,3,False,
energy_aware,10,3,T3,0.31036965290216145,0.43919392243183186,-0.01,-4.509999999999998,0,0,3,False,
energy_aware,11,3,T3,0.20896965290216143,0.34495392243183187,-0.01,-4.519999999999998,0,0,3,False,
energy_aware,12,6,REST,0.35896965290216143,0.5249539224318318,0.19,-4.329999999999997,0,0,3,False,
energy_aware,13,3,T3,0.2575696529021614,0.4307139224318318,-0.01,-4.339999999999997,0,0,3,False,
energy_aware,14,6,REST,0.4075696529021614,0.6107139224318319,-1.31,-5.649999999999997,0,0,4,False,
energy_aware,15,1,T1,0.3023696529021614,0.5103939224318318,-0.01,-5.659999999999997,0,0,4,False,
